district,province,population_2024,population_share_sri_lanka_pct,avg_annual_population_growth_2012_2024_pct,population_density_2024_per_sq_km,urban_population_pct,estate_urban_population_pct,rural_population_pct,estate_rural_population_pct,population_under_18_count,population_under_18_pct,disability_rate_per_1000_age5plus,population_age25plus_2024,education_no_schooling_pct_age25plus,education_grades_1_5_pct_age25plus,education_grades_6_10_pct_age25plus,education_ol_pct_age25plus,education_al_or_over_pct_age25plus,computer_literacy_rate_pct_age5plus,digital_literacy_rate_pct_age5plus,labour_force_2024_count,employment_rate_pct,unemployment_rate_pct,in_migration_2024_count,out_migration_2024_count,net_migration_2024_count,in_migration_per_1000_population_derived,out_migration_per_1000_population_derived,net_migration_per_1000_population_derived,households_2024_count,one_person_households_pct,nuclear_households_pct,extended_households_pct,composite_households_pct,female_household_heads_pct,household_heads_age65plus_pct,occupied_housing_units_2024_count,closed_or_vacant_housing_units_2024_count,closed_or_vacant_share_reported_units_pct,housing_owned_by_household_member_pct,housing_private_rent_or_lease_pct,housing_free_of_rent_pct,permanent_housing_units_pct,semi_permanent_housing_units_pct,improvised_housing_units_pct,drinking_water_within_housing_unit_pct,drinking_water_within_premises_pct,drinking_water_outside_premises_pct,households_using_firewood_for_cooking_pct,households_using_gas_for_cooking_pct,water_sealed_toilet_pct,not_water_sealed_toilet_pct,cluster,hierarchical_cluster,anomaly,anomaly_score
Vavuniya,Northern,172312,0.8,0.0,96,16.6,0.0,83.4,0.0,47427,27.5239,33,104334,2.4,15.9,38.3,21.3,22.1,25.4,67.9,61381,92.6,7.4,43046,51931,-8885,249.8143,301.3777,-51.5634,48399,11.3,64.8,23.4,0.5,30.4,19.6,47825,11141,18.8939,83.5,7.2,6.0,95.3,4.4,0.2,27.0,50.1,22.9,56.5,41.9,99.2,0.8,2,0,1,0.0687383766708562
Mullaitivu,Northern,122619,0.6,2.2,51,0.0,0.0,100.0,0.0,35280,28.7721,38,72080,1.9,20.1,48.0,16.4,13.6,20.4,66.5,45723,91.5,8.5,27573,1981,25592,224.8673,16.1557,208.7115,34786,12.4,65.0,21.8,0.8,31.2,20.4,34348,7128,17.1858,89.4,3.0,5.4,94.3,4.8,0.7,28.6,47.4,24.0,73.8,24.5,99.6,0.4,2,2,1,0.008089637940217886
Kilinochchi,Northern,136710,0.6,1.4,115,0.0,0.0,100.0,0.0,38873,28.4346,35,78672,1.5,17.8,49.1,16.6,15.0,22.1,66.3,50537,91.9,8.1,50544,2030,48514,369.7169,14.849,354.868,36734,10.5,66.9,22.2,0.4,26.7,20.6,36484,6533,15.187,89.0,3.6,5.4,94.2,4.6,0.9,14.6,65.5,19.8,77.3,21.2,99.3,0.6,2,2,1,0.01998768402709339
Batticaloa,Eastern,595918,2.7,1.0,251,27.9,0.0,72.1,0.0,179287,30.0859,31,341410,6.6,24.4,34.7,15.7,18.6,23.8,65.8,191235,89.9,10.1,20395,28134,-7739,34.2245,47.2112,-12.9867,170262,9.9,67.2,22.7,0.2,41.3,15.3,167150,23788,12.4585,87.7,3.5,6.6,92.8,5.8,1.2,40.2,46.8,13.0,42.8,54.5,99.5,0.4,2,2,-1,-0.0001358288604542679
Ampara,Eastern,744551,3.4,1.1,179,23.6,0.0,76.4,0.0,231884,31.1441,32,427089,4.2,20.1,36.5,18.1,21.1,27.4,64.4,246870,91.3,8.7,76457,57987,18470,102.6887,77.8818,24.8069,207007,9.5,67.3,23.0,0.2,32.9,17.0,202861,27002,11.747,90.9,2.7,4.3,95.7,4.0,0.2,74.2,20.4,5.4,48.3,48.7,99.6,0.3,2,2,1,0.05374340190270166
Trincomalee,Eastern,442745,2.0,1.2,181,21.6,0.0,78.4,0.0,142315,32.1438,27,246541,4.2,17.8,39.1,19.8,19.1,22.2,65.2,137617,90.4,9.6,35253,42261,-7008,79.6237,95.4522,-15.8285,121948,10.1,68.1,21.5,0.3,26.6,16.1,119351,17885,13.0323,88.7,3.7,4.5,95.6,3.8,0.4,62.5,28.7,8.8,48.9,47.9,99.5,0.5,2,2,1,0.047072675257343655
Kurunegala,North Western,1768156,8.1,0.7,380,1.8,0.0,97.9,0.3,452513,25.5924,43,1142680,2.0,12.5,37.1,21.7,26.7,34.1,65.6,699453,95.3,4.7,205372,210715,-5343,116.1504,119.1722,-3.0218,511166,11.5,56.5,31.3,0.7,26.3,26.8,506909,67480,11.7481,91.2,3.1,2.7,96.8,3.1,0.1,69.9,12.9,17.2,77.2,21.3,99.8,0.2,0,0,1,0.07364887430638412
Puttalam,North Western,818816,3.8,0.6,278,8.6,0.0,91.3,0.1,229566,28.0363,39,502772,2.9,17.8,42.1,18.9,18.3,26.1,66.6,295082,92.7,7.3,104263,88874,15389,127.3339,108.5396,18.7942,234027,11.7,58.3,29.2,0.8,27.4,20.9,231494,41358,15.1577,87.2,5.2,4.6,94.6,3.8,1.5,65.6,19.3,15.1,60.0,37.3,99.6,0.3,0,0,1,0.11888976510252858
Anuradhapura,North Central,960080,4.4,0.9,147,5.5,0.0,94.5,0.0,271330,28.2612,42,591051,2.6,14.0,42.6,21.1,19.7,30.7,66.6,375621,95.7,4.3,153432,119607,33825,159.8117,124.5802,35.2314,275084,11.0,61.4,27.1,0.5,25.0,20.1,271408,37842,12.2367,91.5,2.5,2.5,96.4,3.5,0.1,65.1,12.9,22.1,74.9,24.0,99.6,0.4,0,0,1,0.10907639258208407
Polonnaruwa,North Central,447530,2.1,0.8,137,8.3,0.0,91.7,0.0,123877,27.6802,37,279680,3.2,15.2,44.9,19.9,16.8,27.4,64.2,165786,94.4,5.6,96237,62382,33855,215.0403,139.3918,75.6486,127385,10.2,59.0,30.3,0.5,28.4,22.2,126482,17291,12.0266,93.3,1.9,1.2,96.8,3.2,0.0,73.9,14.7,11.4,77.6,21.2,99.4,0.5,0,0,1,0.12121830040408876
Badulla,Uva,872307,4.0,0.5,314,8.3,0.0,74.0,17.7,231996,26.5957,37,549534,6.0,16.0,35.9,20.4,21.7,29.7,59.8,340950,94.6,5.4,74945,160850,-85905,85.9159,184.3961,-98.4802,248262,10.7,61.6,27.2,0.5,24.2,25.1,239417,30525,11.308,80.5,3.9,10.8,93.4,6.5,0.0,71.3,21.3,7.4,80.6,18.4,99.4,0.5,0,0,1,0.0944671203004096
Moneragala,Uva,527585,2.4,1.2,96,0.0,0.0,98.4,1.6,150741,28.5719,35,326650,4.7,16.2,43.2,18.5,17.4,26.4,60.0,211852,96.1,3.9,85183,64841,20342,161.4583,122.9015,38.5568,151763,10.5,67.4,21.7,0.4,21.2,21.8,150728,22206,12.8407,91.5,1.9,2.7,92.4,7.4,0.1,69.9,20.7,9.4,83.6,15.3,99.1,0.8,0,0,1,0.047581090338548515
Ratnapura,Sabaragamuwa,1145423,5.3,0.4,356,9.6,0.1,81.9,8.4,288512,25.1882,37,746826,4.5,15.6,39.9,19.3,20.7,30.3,62.2,454935,95.0,5.0,95751,155436,-59685,83.5944,135.7018,-52.1074,327645,10.3,60.5,28.6,0.6,21.8,26.7,324853,42866,11.6573,85.5,4.0,5.7,93.4,6.4,0.1,79.2,14.6,6.2,78.1,20.8,99.5,0.4,0,0,1,0.11021339878653241
Kegalle,Sabaragamuwa,870476,4.0,0.3,530,1.9,0.0,92.0,6.1,214513,24.6432,38,568508,2.4,11.6,35.6,23.3,27.1,34.5,64.5,338485,94.8,5.2,102066,162698,-60632,117.2531,186.9069,-69.6538,244037,10.4,54.9,34.1,0.6,27.0,30.2,242027,30526,11.2,86.9,3.9,5.1,94.6,5.2,0.1,82.5,11.3,6.2,72.9,26.0,99.4,0.5,0,0,1,0.10902973122406617
